issue_date,issue_time,address,latitude,longitude
2025-11-03,15:24:00,1338 05TH AVE,39.7319123,-86.2346743
2025-11-03,15:22:00,2234 CHESTNUT ST,39.952506,-75.1779293
2025-11-03,15:22:00,MISSION ST & 9TH ST,37.7762403,-122.4147389
2025-11-03,15:22:00,3RD ST & WARRIORS WAY,37.7688379,-122.3892008
2025-11-03,15:21:00,890 VALENCIA ST,37.7586882,-122.421474
2025-11-03,15:20:00,MISSION ST & 9TH ST,37.7762403,-122.4147389
2025-11-03,15:19:00,66 LAFAYETTE ST,41.1160683,-74.0394524
2025-11-03,15:18:00,461 02ND ST,7.5452865,80.3096062
2025-11-03,15:17:00,MISSION ST & 9TH ST,37.7762403,-122.4147389
2025-11-03,15:16:00,MISSION ST & 9TH ST,37.7762403,-122.4147389
2025-11-03,15:16:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,15:13:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,15:12:00,1967 UNION ST,40.6675139,-73.9232517
2025-11-03,15:11:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,15:11:00,712 LINCOLN WAY,39.0030655,-119.9516401
2025-11-03,15:10:00,114 FREELON ST,37.7785563,-122.3975692
2025-11-03,15:08:00,750 KEARNY ST,37.7951279,-122.4042071
2025-11-03,15:06:00,LINCOLN WAY & 9TH AVE,37.7659791,-122.4664497
2025-11-03,15:05:00,155 ALMA ST,37.762875,-122.450344
2025-11-03,15:05:00,86 MISSION ST,40.8052344,-74.2131639
2025-11-03,15:04:00,LINCOLN WAY & 9TH AVE,37.7659791,-122.4664497
2025-11-03,15:02:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,15:01:00,110 HUGO ST,-26.08355,27.76429
2025-11-03,15:01:00,THE EMBARCADERO & FERRY BUILDING,37.79546819999999,-122.39421
2025-11-03,14:59:00,MISSION ST & 7TH ST,37.7792236,-122.4109737
2025-11-03,14:56:00,THE EMBARCADERO & FERRY BUILDING,37.79546819999999,-122.39421
2025-11-03,14:56:00,MISSION ST & 7TH ST,37.7792236,-122.4109737
2025-11-03,14:54:00,49 JACK LONDON ALY,37.7817028,-122.3941325
2025-11-03,14:54:00,85 MISSION ST,40.8056097,-74.2132287
2025-11-03,14:53:00,THE EMBARCADERO & FERRY BUILDING,37.79546819999999,-122.39421
2025-11-03,14:52:00,85 MISSION ST,40.8056097,-74.2132287
