issue_date,issue_time,address
2025-11-03,14:25:00,THIRD ST & MARIN ST
2025-11-03,14:25:00,THIRD ST & MARIN ST
2025-11-03,14:19:00,504 TAYLOR ST
2025-11-03,14:19:00,METRO EMBARCADERO STATION
2025-11-03,14:19:00,GARFIELD ST & VICTORIA ST
2025-11-03,14:17:00,1597 CALIFORNIA ST
2025-11-03,14:17:00,325 BRYANT ST
2025-11-03,14:16:00,944 HOWARD ST
2025-11-03,14:16:00,GARFIELD ST & VICTORIA ST
2025-11-03,14:14:00,1446 POLK ST
2025-11-03,14:10:00,220 OLIVE ST
2025-11-03,14:09:00,1522 HOWARD ST
2025-11-03,14:09:00,525 POWELL ST
2025-11-03,14:09:00,11TH ST & HARRISON ST
2025-11-03,14:07:00,2456 MISSION ST
2025-11-03,14:06:00,11TH ST & HARRISON ST
2025-11-03,14:05:00,3RD ST & WARRIORS WAY
2025-11-03,14:02:00,3RD ST & WARRIORS WAY
2025-11-03,14:01:00,DON CHEE WAY-STEUART ST
2025-11-03,14:01:00,MISSION ST & 2ND ST
2025-11-03,13:58:00,2435 MISSION ST
2025-11-03,13:56:00,3338 SCOTT ST
2025-11-03,13:53:00,85 MISSION ST
2025-11-03,13:51:00,85 MISSION ST
2025-11-03,13:49:00,MISSION ST & 3RD ST
2025-11-03,13:48:00,806 GRANT AVE
2025-11-03,13:48:00,404 SUTTER ST
2025-11-03,13:47:00,MISSION ST & 3RD ST
2025-11-03,13:46:00,MARKET ST & NEW MONTGOMERY ST
2025-11-03,13:44:00,MARKET ST & NEW MONTGOMERY ST
2025-11-03,13:44:00,86 MISSION ST
2025-11-03,13:43:00,MARKET ST & NEW MONTGOMERY ST
2025-11-03,13:42:00,HAIGHT ST & BAKER ST
2025-11-03,13:41:00,201 LAGUNA ST
2025-11-03,13:38:00,4TH ST & MARKET ST
2025-11-03,13:38:00,COLUMBUS AVE & KEARNY ST
2025-11-03,13:36:00,3156 21ST ST
2025-11-03,13:31:00,454 MINNA ST
2025-11-03,13:31:00,50 VERMONT ST
2025-11-03,13:31:00,50 VERMONT ST
2025-11-03,13:29:00,844 MOUNT VERNON AVE
2025-11-03,13:28:00,1125 BROADWAY
2025-11-03,13:28:00,121 PRECITA AVE
2025-11-03,13:27:00,MISSION ST & 5TH ST
2025-11-03,13:27:00,KEARNY ST & CALIFORNIA ST
2025-11-03,13:27:00,MARKET ST & 5TH  ST
2025-11-03,13:25:00,MISSION ST & 5TH ST
